u,v,unweighted_hops,weighted_cost,path_length_sum,euclidean,tortuosity
0,1,inf,inf,inf,129.24782396620841,inf
0,2,inf,inf,inf,1226.234072271685,inf
0,3,inf,inf,inf,978.1635855009121,inf
0,4,inf,inf,inf,822.7721434273283,inf
0,5,inf,inf,inf,1353.8275370223491,inf
0,6,inf,inf,inf,492.04166490247553,inf
0,7,inf,inf,inf,688.7212788929932,inf
0,8,inf,inf,inf,1241.244536745278,inf
0,9,inf,inf,inf,61.29437168288782,inf
0,10,inf,inf,inf,713.9649851358258,inf
0,11,inf,inf,inf,775.035483058679,inf
0,12,inf,inf,inf,208.13937638034758,inf
0,13,inf,inf,inf,304.6456958501137,inf
0,14,inf,inf,inf,365.4531433713493,inf
0,15,inf,inf,inf,495.84070022538486,inf
0,16,inf,inf,inf,1289.5410036133012,inf
0,17,inf,inf,inf,787.0482831440521,inf
0,18,inf,inf,inf,692.9429990987715,inf
0,19,inf,inf,inf,257.3285837212804,inf
0,20,inf,inf,inf,1310.7570331682375,inf
0,21,inf,inf,inf,301.97350877187887,inf
0,22,inf,inf,inf,167.29614460590537,inf
0,23,inf,inf,inf,719.0250343346885,inf
0,24,inf,inf,inf,1293.5026091972138,inf
0,25,inf,inf,inf,1101.9187810360615,inf
0,26,inf,inf,inf,587.7593044776067,inf
0,27,inf,inf,inf,652.4944444207936,inf
0,28,inf,inf,inf,886.710775845202,inf
0,29,inf,inf,inf,501.32823578968697,inf
0,30,inf,inf,inf,951.2486530870884,inf
0,31,inf,inf,inf,801.7836366501875,inf
0,32,inf,inf,inf,397.404076476324,inf
0,33,inf,inf,inf,747.28976976806,inf
0,34,inf,inf,inf,1378.9347337709642,inf
0,35,inf,inf,inf,139.05754204644924,inf
0,36,inf,inf,inf,1295.785476072332,inf
0,37,inf,inf,inf,694.4213418379363,inf
0,38,inf,inf,inf,1070.2565113093217,inf
0,39,inf,inf,inf,1069.4283519712762,inf
0,40,inf,inf,inf,797.3919989565985,inf
0,41,inf,inf,inf,1276.058384244232,inf
0,42,inf,inf,inf,648.4458342837896,inf
0,43,inf,inf,inf,518.1631017353512,inf
0,44,inf,inf,inf,691.3826726205973,inf
0,45,inf,inf,inf,1371.5513114717946,inf
0,46,inf,inf,inf,942.555038180795,inf
0,47,inf,inf,inf,591.4634392758355,inf
0,48,inf,inf,inf,683.783591496608,inf
0,49,inf,inf,inf,753.1248236514316,inf
0,50,inf,inf,inf,763.6962747061164,inf
0,51,inf,inf,inf,552.8155207661956,inf
0,52,inf,inf,inf,1262.485247438559,inf
0,53,inf,inf,inf,1071.067224780966,inf
0,54,inf,inf,inf,1411.9578605610013,inf
0,55,inf,inf,inf,1081.011563305407,inf
0,56,inf,inf,inf,345.028984289726,inf
0,57,inf,inf,inf,940.1659427994613,inf
0,58,inf,inf,inf,782.7036476214992,inf
0,59,inf,inf,inf,1226.8027551322177,inf
0,60,inf,inf,inf,1015.9709641520274,inf
0,61,inf,inf,inf,1302.5486555211671,inf
0,62,inf,inf,inf,980.9393457293882,inf
0,63,inf,inf,inf,677.1949497744354,inf
0,64,inf,inf,inf,1273.8010048669298,inf
0,65,inf,inf,inf,1308.2985133370748,inf
0,66,inf,inf,inf,593.0303533546997,inf
0,67,inf,inf,inf,1054.4316004369368,inf
0,68,inf,inf,inf,960.5883613702593,inf
0,69,inf,inf,inf,214.44346574330496,inf
0,70,inf,inf,inf,664.3500583276862,inf
0,71,inf,inf,inf,825.2084585121507,inf
0,72,inf,inf,inf,1301.6481859550222,inf
0,73,inf,inf,inf,383.7251620626409,inf
0,74,inf,inf,inf,853.1002285780962,inf
0,75,inf,inf,inf,1095.903736648434,inf
0,76,inf,inf,inf,596.2491090140094,inf
0,77,inf,inf,inf,1024.287557280669,inf
0,78,inf,inf,inf,1320.3302617148483,inf
0,79,inf,inf,inf,872.6935315447228,inf
0,80,inf,inf,inf,1021.830220731409,inf
0,81,inf,inf,inf,898.7352224098041,inf
0,82,inf,inf,inf,830.0421676035502,inf
0,83,inf,inf,inf,1004.1439139884283,inf
0,84,inf,inf,inf,929.0452088031024,inf
0,85,inf,inf,inf,1220.3974762346897,inf
0,86,inf,inf,inf,362.1670885102621,inf
0,87,inf,inf,inf,1141.4328714383514,inf
0,88,inf,inf,inf,437.65854270195615,inf
0,89,inf,inf,inf,1228.5153641692887,inf
0,90,inf,inf,inf,705.0219854727936,inf
0,91,inf,inf,inf,705.1219752638547,inf
0,92,inf,inf,inf,1351.2531221055513,inf
0,93,inf,inf,inf,620.4232426336073,inf
0,94,inf,inf,inf,736.9565794536337,inf
0,95,inf,inf,inf,559.0169943749474,inf
0,96,inf,inf,inf,1409.1224219350142,inf
0,97,inf,inf,inf,1424.728044224581,inf
1,2,inf,inf,inf,1241.252995968187,inf
1,3,inf,inf,inf,1093.0951468193425,inf
1,4,inf,inf,inf,745.504527149232,inf
1,5,inf,inf,inf,1355.3877673935235,inf
1,6,inf,inf,inf,440.33169315869145,inf
1,7,inf,inf,inf,791.8383673452556,inf
1,8,inf,inf,inf,1340.8090840981054,inf
1,9,inf,inf,inf,110.07270324653611,inf
1,10,inf,inf,inf,789.0405566255768,inf
1,11,inf,inf,inf,823.0024301300696,inf
1,12,inf,inf,inf,144.26711336961034,inf
1,13,inf,inf,inf,430.2975714549177,inf
1,14,inf,inf,inf,485.79522434869614,inf
1,15,inf,inf,inf,392.7200020370748,inf
1,16,inf,inf,inf,1318.6557549262052,inf
1,17,inf,inf,inf,835.0053892041656,inf
1,18,inf,inf,inf,783.2655999084857,inf
1,19,inf,inf,inf,137.3644786689776,inf
1,20,inf,inf,inf,1300.0588448220335,inf
1,21,inf,inf,inf,296.56196654325043,inf
1,22,inf,inf,inf,208.4922060893404,inf
1,23,inf,inf,inf,783.7576155929842,inf
