u,v,path_length,euclidean,tortuosity,weight
0,72,102.87005768508875,94.5410,1.0881,102.8701
1,4,109.2253967444161,99.7647,1.0948,109.2254
133,143,237.8650070512061,207.1618,1.1482,237.8650
133,128,173.02438661763966,158.2308,1.0935,173.0244
133,93,344.889393668846,303.5869,1.1360,344.8894
198,203,89.45584412271567,83.9524,1.0656,89.4558
10,175,157.98275605729685,143.5618,1.1005,157.9828
12,103,45.89949493661167,43.1045,1.0648,45.8995
18,107,1.4142135623730951,1.4142,1.0000,1.4142
21,50,94.11269837220807,83.0241,1.1336,94.1127
22,185,83.39696961966993,77.6660,1.0738,83.3970
189,86,143.42640687119282,129.2478,1.1097,143.4264
121,102,65.59797974644664,60.4152,1.0858,65.5980
194,201,31.970562748477146,29.5466,1.0820,31.9706
34,69,121.63961030678922,107.3778,1.1328,121.6396
137,139,13.071067811865477,12.0830,1.0818,13.0711
117,124,377.4507934888329,339.9956,1.1102,377.4508
185,183,41.14213562373095,38.3275,1.0734,41.1421
185,76,178.13708498984778,159.6653,1.1157,178.1371
37,143,117.32590180780446,102.5914,1.1436,117.3259
39,42,39.48528137423857,37.4833,1.0534,39.4853
158,159,13.0,13.0000,1.0000,13.0000
151,152,23.142135623730955,21.4709,1.0778,23.1421
56,175,110.98275605729684,94.3663,1.1761,110.9828
208,8,115.35533905932733,107.4895,1.0732,115.3553
148,130,206.24978336205604,191.1282,1.0791,206.2498
201,3,95.49747468305829,87.2353,1.0947,95.4975
153,145,68.15432893255065,64.4438,1.0576,68.1543
81,48,53.07106781186547,51.0882,1.0388,53.0711
83,144,64.84062043356592,58.7282,1.1041,64.8406
176,175,23.72792206135786,21.9317,1.0819,23.7279
182,16,200.00714267493655,181.9505,1.0992,200.0071
94,210,22.72792206135786,21.0238,1.0811,22.7279
142,59,66.52691193458118,58.1378,1.1443,66.5269
99,104,138.22539674441614,117.6435,1.1750,138.2254
147,118,268.56349186104103,235.3572,1.1411,268.5635
13,130,2.414213562373095,2.2361,1.0797,2.4142
115,129,145.46803743153544,127.0472,1.1450,145.4680
107,73,6.0,6.0000,1.0000,6.0000
24,41,110.2253967444161,99.7296,1.1052,110.2254
25,78,64.55634918610403,60.0083,1.0758,64.5563
38,74,48.89949493661166,46.0109,1.0628,48.8995
132,88,233.05382386916244,212.9836,1.0942,233.0538
186,89,183.33809511662437,157.3849,1.1649,183.3381
55,130,3.414213562373095,3.1623,1.0797,3.4142
216,84,204.93607486307124,184.1955,1.1126,204.9361
68,167,220.59292911256364,197.8737,1.1148,220.5929
70,141,418.43354954613017,339.9676,1.2308,418.4335
92,109,69.55634918610401,65.6201,1.0600,69.5563
