id,y,x,type
0,959.0,656.0,endpoint
1,46.0,512.0,endpoint
2,927.0,32.0,endpoint
3,1378.0,1134.0,endpoint
4,757.0,1259.0,endpoint
5,1004.0,50.0,endpoint
6,293.0,166.0,endpoint
7,724.0,499.0,endpoint
8,1231.0,315.0,endpoint
9,771.0,781.0,endpoint
10,1013.0,1059.0,endpoint
11,629.0,1460.0,endpoint
12,549.0,30.0,endpoint
13,978.0,335.0,endpoint
14,26.0,599.0,endpoint
15,686.0,810.0,endpoint
16,720.0,3.0,endpoint
17,725.0,475.0,endpoint
18,531.0,619.0,endpoint
19,890.0,1473.0,endpoint
20,1067.0,86.0,endpoint
21,250.0,200.0,endpoint
22,1164.0,949.0,endpoint
23,1136.0,256.0,endpoint
24,1114.0,1030.0,endpoint
25,80.0,1066.0,endpoint
26,485.0,50.0,endpoint
27,751.0,880.0,endpoint
28,642.0,973.0,endpoint
29,1093.0,1403.0,endpoint
30,270.0,1149.0,endpoint
31,557.0,879.0,endpoint
32,1385.0,363.0,endpoint
33,373.0,1152.0,endpoint
34,973.0,1404.0,endpoint
35,984.0,49.0,endpoint
36,762.0,665.0,endpoint
37,1338.0,751.0,endpoint
38,167.0,1215.0,endpoint
39,321.0,1044.0,endpoint
40,1234.0,1307.0,endpoint
41,706.0,132.0,endpoint
42,698.0,994.0,endpoint
43,713.0,1412.0,endpoint
44,417.0,1035.0,endpoint
45,735.0,353.0,endpoint
46,440.0,1146.0,endpoint
47,969.0,739.0,endpoint
48,716.0,0.0,endpoint
49,1438.0,479.0,endpoint
50,868.0,964.0,endpoint
51,1172.0,143.0,endpoint
52,1205.0,347.0,endpoint
53,596.0,1469.0,endpoint
54,680.0,1102.0,endpoint
55,982.0,1050.0,endpoint
56,822.0,66.0,endpoint
57,1468.0,934.0,endpoint
58,477.0,733.0,endpoint
59,423.0,860.0,endpoint
60,1041.0,747.0,endpoint
61,912.0,880.0,endpoint
62,1165.0,789.0,endpoint
63,790.0,1485.0,endpoint
64,449.0,988.0,endpoint
65,982.0,1244.0,endpoint
66,751.0,1048.0,endpoint
67,1195.0,853.0,endpoint
68,485.0,657.0,endpoint
69,241.0,1108.0,endpoint
70,777.0,1451.0,endpoint
71,13.0,847.0,endpoint
72,584.0,1163.0,endpoint
73,751.0,312.0,endpoint
74,871.0,1021.0,endpoint
75,17.0,655.0,endpoint
76,393.0,94.0,endpoint
77,622.0,1302.0,endpoint
78,1295.0,247.0,endpoint
79,1082.0,112.0,endpoint
80,1058.0,328.0,endpoint
81,1472.0,602.0,endpoint
82,113.0,970.0,endpoint
83,761.0,1200.0,endpoint
84,101.0,385.0,endpoint
85,988.0,1053.0,endpoint
86,443.0,1284.0,endpoint
87,904.0,727.0,endpoint
88,736.0,1454.0,endpoint
89,1485.0,675.0,endpoint
90,485.0,1436.0,endpoint
91,267.0,1314.0,endpoint
92,1381.0,1130.0,endpoint
93,665.0,1384.0,endpoint
94,1465.0,937.0,endpoint
95,48.0,602.0,junction
96,115.0,1013.0,junction
97,121.0,969.0,junction
98,127.0,947.0,junction
99,145.0,396.0,junction
100,151.0,733.0,junction
101,156.0,853.0,junction
102,168.0,1135.0,junction
103,184.0,893.0,junction
104,192.0,870.0,junction
105,213.0,471.0,junction
106,225.0,1146.0,junction
107,230.0,1107.0,junction
108,231.0,1158.0,junction
109,248.0,1159.0,junction
110,253.0,1255.0,junction
111,257.0,1124.0,junction
112,266.0,470.0,junction
113,270.0,750.0,junction
114,282.0,467.0,junction
115,284.0,1143.0,junction
116,299.0,434.0,junction
117,308.0,202.0,junction
118,319.0,478.0,junction
119,367.0,1233.0,junction
120,388.0,1280.0,junction
121,396.0,652.0,junction
122,402.0,1290.0,junction
123,443.0,518.0,junction
124,450.0,550.0,junction
125,449.0,1199.0,junction
126,452.0,539.0,junction
127,454.0,1169.0,junction
128,489.0,1373.0,junction
129,490.0,1381.0,junction
130,498.0,260.0,junction
131,516.0,402.0,junction
132,524.0,239.0,junction
133,525.0,440.0,junction
134,526.0,1156.0,junction
135,534.0,451.0,junction
136,539.0,434.0,junction
137,543.0,443.0,junction
138,546.0,428.0,junction
139,551.0,426.0,junction
140,554.0,439.0,junction
141,560.0,437.0,junction
142,567.0,400.0,junction
143,575.0,1075.0,junction
144,583.0,1077.0,junction
145,583.0,1165.0,junction
146,598.0,1153.0,junction
147,603.0,1176.0,junction
148,611.0,304.0,junction
149,614.0,233.0,junction
150,617.0,870.0,junction
151,649.0,449.0,junction
152,656.0,410.0,junction
153,661.0,409.0,junction
154,688.0,417.0,junction
155,689.0,391.0,junction
156,690.0,809.0,junction
157,691.0,335.0,junction
158,691.0,374.0,junction
159,704.0,370.0,junction
160,704.0,754.0,junction
161,714.0,131.0,junction
162,713.0,353.0,junction
163,716.0,5.0,junction
164,730.0,353.0,junction
165,734.0,355.0,junction
166,733.0,374.0,junction
167,733.0,622.0,junction
168,737.0,319.0,junction
169,737.0,329.0,junction
170,746.0,385.0,junction
171,749.0,310.0,junction
172,765.0,359.0,junction
173,770.0,387.0,junction
174,771.0,374.0,junction
175,778.0,398.0,junction
176,781.0,330.0,junction
177,783.0,433.0,junction
178,788.0,398.0,junction
179,793.0,375.0,junction
180,812.0,290.0,junction
181,815.0,401.0,junction
182,823.0,371.0,junction
183,842.0,401.0,junction
184,842.0,332.0,junction
185,861.0,1364.0,junction
186,867.0,1281.0,junction
187,872.0,1271.0,junction
188,898.0,1179.0,junction
189,913.0,1157.0,junction
190,926.0,1111.0,junction
191,928.0,875.0,junction
192,939.0,887.0,junction
193,941.0,960.0,junction
194,943.0,409.0,junction
195,945.0,1098.0,junction
196,957.0,951.0,junction
197,958.0,578.0,junction
198,961.0,951.0,junction
199,961.0,94.0,junction
200,969.0,94.0,junction
201,972.0,1046.0,junction
202,973.0,125.0,junction
203,978.0,339.0,junction
204,979.0,1226.0,junction
205,981.0,68.0,junction
206,992.0,433.0,junction
207,1006.0,1182.0,junction
208,1017.0,358.0,junction
209,1026.0,1164.0,junction
210,1034.0,201.0,junction
211,1047.0,690.0,junction
212,1047.0,682.0,junction
213,1073.0,843.0,junction
214,1077.0,667.0,junction
215,1092.0,491.0,junction
216,1097.0,1264.0,junction
217,1114.0,1268.0,junction
218,1124.0,1146.0,junction
219,1141.0,561.0,junction
220,1149.0,505.0,junction
221,1186.0,559.0,junction
222,1200.0,854.0,junction
223,1203.0,789.0,junction
224,1203.0,768.0,junction
225,1206.0,563.0,junction
226,1214.0,845.0,junction
227,1220.0,1120.0,junction
228,1223.0,1097.0,junction
229,1228.0,1092.0,junction
230,1246.0,1030.0,junction
231,1247.0,557.0,junction
232,1267.0,1003.0,junction
233,1269.0,967.0,junction
234,1290.0,1064.0,junction
235,1330.0,657.0,junction
236,1353.0,635.0,junction
237,1362.0,635.0,junction
238,1378.0,1131.0,junction
239,1383.0,858.0,junction
240,1464.0,934.0,junction
