u,v,path_length,euclidean,tortuosity,weight
1,110,258.7228714274746,234.3608,1.1040,258.7229
201,206,25.55634918610405,23.7065,1.0780,25.5563
4,36,99.38477631085023,94.6414,1.0501,99.3848
6,246,110.63961030678918,101.5332,1.0897,110.6396
212,191,166.095454429505,150.7216,1.1020,166.0955
10,166,11.899494936611667,11.4018,1.0437,11.8995
13,131,268.3675323681476,248.0726,1.0818,268.3675
210,30,45.284271247461895,41.6773,1.0865,45.2843
220,209,141.3259018078045,130.6484,1.0817,141.3259
39,100,108.76955262170044,97.4166,1.1165,108.7696
42,132,122.3847763108502,116.1551,1.0536,122.3848
239,235,23.213203435596434,22.6716,1.0239,23.2132
44,79,74.04163056034261,68.4105,1.0823,74.0416
149,93,62.04163056034259,55.0091,1.1278,62.0416
161,159,33.14213562373096,30.6757,1.0804,33.1421
161,164,45.76955262170046,43.1856,1.0598,45.7696
161,66,89.56854249492373,81.2712,1.1021,89.5685
200,197,49.941125496954264,46.3249,1.0781,49.9411
200,206,29.69848480983501,29.6985,1.0000,29.6985
57,174,117.32590180780446,106.2309,1.1044,117.3259
59,170,140.9827560572969,123.7619,1.1391,140.9828
260,259,60.21320343559641,56.0446,1.0744,60.2132
219,111,15.242640687119284,14.3178,1.0646,15.2426
65,123,98.11269837220806,90.4268,1.0850,98.1127
170,92,44.62741699796952,38.6005,1.1561,44.6274
73,80,28.65685424949238,27.0740,1.0585,28.6569
227,230,18.142135623730955,17.2047,1.0545,18.1421
223,244,195.96551211459402,180.2942,1.0869,195.9655
86,113,135.50966799187802,124.5351,1.0881,135.5097
87,186,16.071067811865476,14.3178,1.1225,16.0711
96,175,14.313708498984763,13.6015,1.0524,14.3137
215,11,39.04163056034262,31.9531,1.2218,39.0416
105,40,19.970562748477146,19.2094,1.0396,19.9706
106,225,371.91883092036886,300.1083,1.2393,371.9188
108,82,60.76955262170045,56.3560,1.0783,60.7696
234,238,14.313708498984763,13.6015,1.0524,14.3137
2,190,128.0243866176394,118.7013,1.0785,128.0244
172,97,294.0365799264598,262.6119,1.1197,294.0366
16,63,78.21320343559641,73.1642,1.0690,78.2132
248,251,23.55634918610405,21.9545,1.0730,23.5563
17,163,57.79898987322332,52.9528,1.0915,57.7990
159,90,121.76955262170044,112.8051,1.0795,121.7696
21,91,82.84062043356593,75.1332,1.1026,82.8406
28,190,34.627416997969526,31.2410,1.1084,34.6274
143,140,37.62741699796952,33.8378,1.1120,37.6274
52,165,51.38477631085023,46.2709,1.1105,51.3848
53,74,49.38477631085023,45.8803,1.0764,49.3848
55,103,88.69848480983497,80.0562,1.1080,88.6985
232,84,9.65685424949238,8.9443,1.0797,9.6569
