u,v,unweighted_hops,weighted_cost,path_length_sum,euclidean,tortuosity
0,1,inf,inf,inf,543.5899189646548,inf
0,2,inf,inf,inf,292.0633492925807,inf
0,3,inf,inf,inf,1448.5006040730532,inf
0,4,inf,inf,inf,583.6754235017952,inf
0,5,inf,inf,inf,879.0403858754158,inf
0,6,inf,inf,inf,1413.3750386928446,inf
0,7,inf,inf,inf,725.7582242041767,inf
0,8,inf,inf,inf,1006.9900694644411,inf
0,9,inf,inf,inf,546.6305882403582,inf
0,10,inf,inf,inf,1355.7805869682602,inf
0,11,inf,inf,inf,1412.0856914507704,inf
0,12,inf,inf,inf,1155.9675600984658,inf
0,13,inf,inf,inf,1080.3541086143932,inf
0,14,inf,inf,inf,1353.7344643614567,inf
0,15,inf,inf,inf,1258.1593698733082,inf
0,16,inf,inf,inf,1451.1802093468611,inf
0,17,inf,inf,inf,130.59862173851607,inf
0,18,inf,inf,inf,1120.8612759837856,inf
0,19,inf,inf,inf,1018.6289805419832,inf
0,20,inf,inf,inf,969.7035629510701,inf
0,21,inf,inf,inf,840.5950273467004,inf
0,22,inf,inf,inf,1083.9395739615748,inf
0,23,inf,inf,inf,1417.492151653758,inf
0,24,inf,inf,inf,920.7154826546581,inf
0,25,inf,inf,inf,759.6584758955829,inf
0,26,inf,inf,inf,788.7946500832774,inf
0,27,inf,inf,inf,786.3364419890509,inf
0,28,inf,inf,inf,632.3685634185179,inf
0,29,inf,inf,inf,1109.534136473502,inf
0,30,inf,inf,inf,1469.9772107077035,inf
0,31,inf,inf,inf,1122.0873406290618,inf
0,32,inf,inf,inf,237.0232056149777,inf
0,33,inf,inf,inf,656.2926176637978,inf
0,34,inf,inf,inf,356.23728047468586,inf
0,35,inf,inf,inf,793.1765251190935,inf
0,36,inf,inf,inf,863.6955482112895,inf
0,37,inf,inf,inf,279.45840477609545,inf
0,38,inf,inf,inf,758.394356519087,inf
0,39,inf,inf,inf,1297.2821589769899,inf
0,40,inf,inf,inf,204.53361581901396,inf
0,41,inf,inf,inf,72.94518489934754,inf
0,42,inf,inf,inf,592.8178472347134,inf
0,43,inf,inf,inf,591.7905034723015,inf
0,44,inf,inf,inf,1470.3373762507706,inf
0,45,inf,inf,inf,1152.3419631342078,inf
0,46,inf,inf,inf,733.8937252763509,inf
0,47,inf,inf,inf,875.0965660999933,inf
0,48,inf,inf,inf,1159.8732689393269,inf
0,49,inf,inf,inf,1160.6984965959075,inf
0,50,inf,inf,inf,1130.6179726149767,inf
0,51,inf,inf,inf,1377.8280008767422,inf
0,52,inf,inf,inf,1021.5253300824214,inf
0,53,inf,inf,inf,234.77648945326703,inf
0,54,inf,inf,inf,337.37960815674677,inf
0,55,inf,inf,inf,1019.6298347929998,inf
0,56,inf,inf,inf,1119.3176492845987,inf
0,57,inf,inf,inf,1055.0639791026892,inf
0,58,inf,inf,inf,700.5783325224953,inf
0,59,inf,inf,inf,333.54160160315837,inf
0,60,inf,inf,inf,1379.3918950030118,inf
0,61,inf,inf,inf,539.4163512538344,inf
0,62,inf,inf,inf,784.9184671034311,inf
0,63,inf,inf,inf,1080.9329303893003,inf
0,64,inf,inf,inf,1340.4454483491672,inf
0,65,inf,inf,inf,565.9257901880776,inf
0,66,inf,inf,inf,1465.2498080532207,inf
0,67,inf,inf,inf,521.9358198092942,inf
0,68,inf,inf,inf,1172.7203417695116,inf
0,69,inf,inf,inf,798.075810935277,inf
0,70,inf,inf,inf,1046.0043020944033,inf
0,71,inf,inf,inf,727.3300488773992,inf
0,72,inf,inf,inf,485.55638189606776,inf
0,73,inf,inf,inf,1179.355756334788,inf
0,74,inf,inf,inf,621.225401927513,inf
0,75,inf,inf,inf,704.3138504956437,inf
0,76,inf,inf,inf,1431.6134254749081,inf
0,77,inf,inf,inf,628.2053804290441,inf
0,78,inf,inf,inf,778.9043586988071,inf
0,79,inf,inf,inf,1270.075981979031,inf
0,80,inf,inf,inf,1013.4387006622552,inf
0,81,inf,inf,inf,797.0225843726137,inf
0,82,inf,inf,inf,602.7304538514708,inf
0,83,inf,inf,inf,642.3659393211941,inf
0,84,inf,inf,inf,852.4394406642621,inf
0,85,inf,inf,inf,979.8979538707079,inf
0,86,inf,inf,inf,987.1114425433432,inf
1,2,inf,inf,inf,308.0146100430952,inf
1,3,inf,inf,inf,1240.8980618890498,inf
1,4,inf,inf,inf,182.72657168567466,inf
1,5,inf,inf,inf,499.48973963435924,inf
1,6,inf,inf,inf,1269.5971802111094,inf
1,7,inf,inf,inf,197.0406049523803,inf
1,8,inf,inf,inf,761.4151298733169,inf
1,9,inf,inf,inf,443.11285244280606,inf
1,10,inf,inf,inf,904.8032935395405,inf
1,11,inf,inf,inf,1007.1285915909646,inf
1,12,inf,inf,inf,628.9650228748814,inf
1,13,inf,inf,inf,1011.2887817038218,inf
1,14,inf,inf,inf,1295.0694962047403,inf
1,15,inf,inf,inf,1285.6177503441681,inf
1,16,inf,inf,inf,1093.6041331304486,inf
1,17,inf,inf,inf,447.50195530299084,inf
1,18,inf,inf,inf,807.5469026626255,inf
1,19,inf,inf,inf,537.4616265371882,inf
1,20,inf,inf,inf,1177.7898793927548,inf
1,21,inf,inf,inf,602.9742946428148,inf
1,22,inf,inf,inf,888.2527793370533,inf
1,23,inf,inf,inf,1012.9412618705983,inf
1,24,inf,inf,inf,541.1478541027396,inf
1,25,inf,inf,inf,1065.6157844176296,inf
1,26,inf,inf,inf,266.20480837129895,inf
1,27,inf,inf,inf,504.13589437769656,inf
1,28,inf,inf,inf,733.1302749170845,inf
1,29,inf,inf,inf,837.8734988051598,inf
1,30,inf,inf,inf,1177.929115014991,inf
1,31,inf,inf,inf,674.3070517205051,inf
1,32,inf,inf,inf,693.8659812961001,inf
1,33,inf,inf,inf,199.12307751739877,inf
1,34,inf,inf,inf,216.05786262017867,inf
1,35,inf,inf,inf,1024.146962110419,inf
1,36,inf,inf,inf,532.6537336769545,inf
1,37,inf,inf,inf,509.82447960057783,inf
1,38,inf,inf,inf,278.6323742855449,inf
1,39,inf,inf,inf,1292.5838464099727,inf
1,40,inf,inf,inf,354.5645216318181,inf
1,41,inf,inf,inf,603.8484909312931,inf
1,42,inf,inf,inf,581.2202680567841,inf
1,43,inf,inf,inf,291.6058984314275,inf
1,44,inf,inf,inf,1166.0437384592399,inf
1,45,inf,inf,inf,794.638282490845,inf
1,46,inf,inf,inf,847.8973994534952,inf
1,47,inf,inf,inf,452.203494015692,inf
1,48,inf,inf,inf,690.9500705550294,inf
1,49,inf,inf,inf,976.0701819029204,inf
1,50,inf,inf,inf,1006.9900694644411,inf
1,51,inf,inf,inf,1283.1274293693514,inf
1,52,inf,inf,inf,514.0622530394544,inf
1,53,inf,inf,inf,324.6074552440224,inf
1,54,inf,inf,inf,798.3940130036046,inf
1,55,inf,inf,inf,535.0934497823721,inf
1,56,inf,inf,inf,1243.1452047126272,inf
1,57,inf,inf,inf,1001.6037140506219,inf
1,58,inf,inf,inf,1029.6115772464877,inf
1,59,inf,inf,inf,793.435567642389,inf
1,60,inf,inf,inf,962.1746203262691,inf
1,61,inf,inf,inf,599.4163828258284,inf
1,62,inf,inf,inf,635.9567595363698,inf
1,63,inf,inf,inf,1227.1731744134565,inf
1,64,inf,inf,inf,1295.373305267636,inf
1,65,inf,inf,inf,388.3632320392856,inf
1,66,inf,inf,inf,1174.9353173685774,inf
1,67,inf,inf,inf,468.89764341485017,inf
1,68,inf,inf,inf,1262.623063309078,inf
1,69,inf,inf,inf,388.1043674065006,inf
1,70,inf,inf,inf,1213.150031941639,inf
1,71,inf,inf,inf,194.60986614249546,inf
1,72,inf,inf,inf,794.1190087134296,inf
1,73,inf,inf,inf,1003.5706253174213,inf
1,74,inf,inf,inf,228.53664913969487,inf
1,75,inf,inf,inf,1034.9512065793247,inf
1,76,inf,inf,inf,1266.1852155194358,inf
1,77,inf,inf,inf,738.8477515699699,inf
1,78,inf,inf,inf,1011.4277037930096,inf
1,79,inf,inf,inf,854.2511340349511,inf
1,80,inf,inf,inf,935.7969865307325,inf
1,81,inf,inf,inf,1080.252285348196,inf
1,82,inf,inf,inf,426.3824574252557,inf
1,83,inf,inf,inf,950.4272723359742,inf
1,84,inf,inf,inf,361.9627052611912,inf
1,85,inf,inf,inf,436.31410703757905,inf
1,86,inf,inf,inf,584.6888061182632,inf
2,3,inf,inf,inf,1442.0821751897497,inf
2,4,inf,inf,inf,296.66479400158016,inf
2,5,inf,inf,inf,759.6848030597953,inf
2,6,inf,inf,inf,1440.5589193087521,inf
2,7,inf,inf,inf,505.0009900980393,inf
2,8,inf,inf,inf,967.9752062940455,inf
2,9,inf,inf,inf,542.8848865091015,inf
2,10,inf,inf,inf,1201.201065600593,inf
2,11,inf,inf,inf,1289.2342688588446,inf
2,12,inf,inf,inf,936.190151625192,inf
2,13,inf,inf,inf,1137.5904359654226,inf
2,14,inf,inf,inf,1423.782286727855,inf
2,15,inf,inf,inf,1369.0770613811335,inf
2,16,inf,inf,inf,1358.634976732161,inf
2,17,inf,inf,inf,166.50825805346713,inf
2,18,inf,inf,inf,1048.057727417722,inf
2,19,inf,inf,inf,838.9767577233591,inf
2,20,inf,inf,inf,1158.738106735081,inf
2,21,inf,inf,inf,797.3562566381479,inf
2,22,inf,inf,inf,1074.8171937590132,inf
2,23,inf,inf,inf,1294.9629338324708,inf
2,24,inf,inf,inf,803.1251459143837,inf
2,25,inf,inf,inf,986.1855809126394,inf
2,26,inf,inf,inf,515.9321660838758,inf
2,27,inf,inf,inf,715.2286347735247,inf
2,28,inf,inf,inf,751.7745672739934,inf
2,29,inf,inf,inf,1059.819324224653,inf
2,30,inf,inf,inf,1416.5796836041382,inf
2,31,inf,inf,inf,967.24815843712,inf
2,32,inf,inf,inf,506.25388887395223,inf
2,33,inf,inf,inf,478.80371761296925,inf
2,34,inf,inf,inf,92.02173656261873,inf
2,35,inf,inf,inf,986.8941179275515,inf
2,36,inf,inf,inf,770.8884484800639,inf
2,37,inf,inf,inf,417.43262929483603,inf
2,38,inf,inf,inf,574.0601013831217,inf
2,39,inf,inf,inf,1393.2157047636235,inf
2,40,inf,inf,inf,201.80436070610565,inf
2,41,inf,inf,inf,364.0054944640259,inf
2,42,inf,inf,inf,647.5708455451032,inf
2,43,inf,inf,inf,487.86166071951175,inf
2,44,inf,inf,inf,1409.8443176464557,inf
2,45,inf,inf,inf,1054.5714769516574,inf
2,46,inf,inf,inf,867.5765095943988,inf
2,47,inf,inf,inf,730.2198299142526,inf
2,48,inf,inf,inf,990.6750223963456,inf
2,49,inf,inf,inf,1160.0,inf
2,50,inf,inf,inf,1161.2579386165676,inf
2,51,inf,inf,inf,1429.9206271678158,inf
2,52,inf,inf,inf,821.1266650158184,inf
2,53,inf,inf,inf,195.7268504830137,inf
2,54,inf,inf,inf,613.687216748076,inf
2,55,inf,inf,inf,837.4974626827236,inf
2,56,inf,inf,inf,1273.232500370612,inf
2,57,inf,inf,inf,1119.4002858673925,inf
2,58,inf,inf,inf,935.2374030159401,inf
2,59,inf,inf,inf,609.2626691337654,inf
2,60,inf,inf,inf,1248.1510325277145,inf
2,61,inf,inf,inf,626.6713652306128,inf
2,62,inf,inf,inf,785.1241939973573,inf
2,63,inf,inf,inf,1244.3910157181303,inf
2,64,inf,inf,inf,1417.0973855031982,inf
2,65,inf,inf,inf,524.218465909014,inf
2,66,inf,inf,inf,1412.7795298630285,inf
2,67,inf,inf,inf,542.2785262206129,inf
2,68,inf,inf,inf,1311.8490766852717,inf
2,69,inf,inf,inf,657.2199023158079,inf
2,70,inf,inf,inf,1218.2823974760531,inf
2,71,inf,inf,inf,463.59033639626267,inf
2,72,inf,inf,inf,700.2128247897207,inf
2,73,inf,inf,inf,1183.9379206698297,inf
2,74,inf,inf,inf,473.491288198632,inf
2,75,inf,inf,inf,939.7898701305521,inf
2,76,inf,inf,inf,1447.6518918579839,inf
2,77,inf,inf,inf,752.4393663279454,inf
2,78,inf,inf,inf,972.7820927628139,inf
2,79,inf,inf,inf,1138.4594854451343,inf
2,80,inf,inf,inf,1063.7353994297641,inf
2,81,inf,inf,inf,1014.7167092346514,inf
2,82,inf,inf,inf,568.1769090697017,inf
2,83,inf,inf,inf,865.4854129331123,inf
2,84,inf,inf,inf,663.5495460024067,inf
2,85,inf,inf,inf,728.6158109731081,inf
2,86,inf,inf,inf,858.2889956186086,inf
3,4,inf,inf,inf,1418.4445706477218,inf
3,5,inf,inf,inf,764.3572463187616,inf
3,6,inf,inf,inf,166.35203635663737,inf
3,7,inf,inf,inf,1132.3555095463614,inf
3,8,inf,inf,inf,480.23431780746364,inf
3,9,inf,inf,inf,913.1073321357134,inf
3,10,inf,inf,inf,738.531651319021,inf
3,11,inf,inf,inf,579.4963330341271,inf
3,12,inf,inf,inf,1068.2719691164793,inf
3,13,inf,inf,inf,437.4025605777817,inf
3,14,inf,inf,inf,377.4612562899668,inf
3,15,inf,inf,inf,578.2914490116553,inf
3,16,inf,inf,inf,428.3760030627299,inf
3,17,inf,inf,inf,1465.4507838886982,inf
3,18,inf,inf,inf,463.06802955937263,inf
3,19,inf,inf,inf,895.2212017149728,inf
3,20,inf,inf,inf,959.7629915765663,inf
3,21,inf,inf,inf,646.7967223169888,inf
3,22,inf,inf,inf,368.62040095469484,inf
3,23,inf,inf,inf,578.1228243202304,inf
3,24,inf,inf,inf,731.413016017626,inf
3,25,inf,inf,inf,1141.1419718860577,inf
3,26,inf,inf,inf,1341.5800386111891,inf
3,27,inf,inf,inf,738.8646696114248,inf
3,28,inf,inf,inf,878.4827829843906,inf
3,29,inf,inf,inf,408.14213210596137,inf
3,30,inf,inf,inf,233.54871012274933,inf
3,31,inf,inf,inf,765.9569178485172,inf
3,32,inf,inf,inf,1357.7105729867467,inf
3,33,inf,inf,inf,1049.789502709948,inf
3,34,inf,inf,inf,1375.7590632083802,inf
3,35,inf,inf,inf,998.0846657473503,inf
3,36,inf,inf,inf,712.5307010929424,inf
3,37,inf,inf,inf,1175.2297647694259,inf
3,38,inf,inf,inf,1011.0588509082941,inf
3,39,inf,inf,inf,504.7385461800991,inf
3,40,inf,inf,inf,1296.6449012740536,inf
3,41,inf,inf,inf,1445.7804120958342,inf
3,42,inf,inf,inf,858.3385113112425,inf
3,43,inf,inf,inf,965.2740543493335,inf
3,44,inf,inf,inf,268.9274995235705,inf
3,45,inf,inf,inf,528.7362291350953,inf
3,46,inf,inf,inf,838.2183486419275,inf
3,47,inf,inf,inf,836.7197858303579,inf
3,48,inf,inf,inf,820.6582723643259,inf
3,49,inf,inf,inf,287.8906042232014,inf
3,50,inf,inf,inf,342.7608495729931,inf
3,51,inf,inf,inf,289.25421345245775,inf
3,52,inf,inf,inf,980.987257817348,inf
3,53,inf,inf,inf,1280.8317610053243,inf
3,54,inf,inf,inf,1377.8392504207447,inf
3,55,inf,inf,inf,904.9425396123225,inf
3,56,inf,inf,inf,788.7217506827106,inf
3,57,inf,inf,inf,472.29863434060445,inf
3,58,inf,inf,inf,1180.3219899671444,inf
3,59,inf,inf,inf,1375.0287269726405,inf
3,60,inf,inf,inf,620.9283372499599,inf
3,61,inf,inf,inf,922.1583378140655,inf
3,62,inf,inf,inf,667.0119938951623,inf
3,63,inf,inf,inf,835.3167064054209,inf
3,64,inf,inf,inf,409.9609737523805,inf
3,65,inf,inf,inf,918.9396062854186,inf
3,66,inf,inf,inf,228.64164100180878,inf
3,67,inf,inf,inf,929.664993425051,inf
3,68,inf,inf,inf,716.4530689445053,inf
3,69,inf,inf,inf,873.4832568515552,inf
3,70,inf,inf,inf,878.2602120100853,inf
3,71,inf,inf,inf,1292.681321904204,inf
3,72,inf,inf,inf,1147.4550100112858,inf
3,73,inf,inf,inf,269.8332818612263,inf
3,74,inf,inf,inf,1012.6050562781128,inf
3,75,inf,inf,inf,1184.0709438205129,inf
3,76,inf,inf,inf,111.07204868912791,inf
3,77,inf,inf,inf,888.6506625215558,inf
3,78,inf,inf,inf,1001.3640696569854,inf
3,79,inf,inf,inf,631.0855726444711,inf
3,80,inf,inf,inf,474.0042193905029,inf
3,81,inf,inf,inf,1099.0891683571447,inf
3,82,inf,inf,inf,875.3844869541612,inf
3,83,inf,inf,inf,1136.4101372303928,inf
3,84,inf,inf,inf,983.6284867774011,inf
3,85,inf,inf,inf,1229.5177916565501,inf
