id,y,x,type
0,1229.0,187.0,endpoint
1,147.0,631.0,endpoint
2,721.0,229.0,endpoint
3,393.0,153.0,endpoint
4,167.0,539.0,endpoint
5,1429.0,470.0,endpoint
6,1227.0,183.0,endpoint
7,471.0,111.0,endpoint
8,1405.0,680.0,endpoint
9,469.0,467.0,endpoint
10,879.0,1052.0,endpoint
11,167.0,1206.0,endpoint
12,1357.0,951.0,endpoint
13,865.0,443.0,endpoint
14,15.0,727.0,endpoint
15,1354.0,1153.0,endpoint
16,1130.0,844.0,endpoint
17,1344.0,953.0,endpoint
18,1390.0,1103.0,endpoint
19,662.0,1477.0,endpoint
20,667.0,296.0,endpoint
21,778.0,367.0,endpoint
22,663.0,118.0,endpoint
23,1432.0,663.0,endpoint
24,1033.0,1423.0,endpoint
25,817.0,1033.0,endpoint
26,657.0,443.0,endpoint
27,622.0,666.0,endpoint
28,529.0,358.0,endpoint
29,951.0,560.0,endpoint
30,724.0,469.0,endpoint
31,995.0,584.0,endpoint
32,79.0,423.0,endpoint
33,601.0,563.0,endpoint
34,859.0,724.0,endpoint
35,780.0,790.0,endpoint
36,469.0,446.0,endpoint
37,660.0,197.0,endpoint
38,830.0,281.0,endpoint
39,303.0,1335.0,endpoint
40,766.0,1483.0,endpoint
41,412.0,833.0,endpoint
42,491.0,479.0,endpoint
43,958.0,533.0,endpoint
44,375.0,1390.0,endpoint
45,249.0,893.0,endpoint
46,862.0,1465.0,endpoint
47,214.0,935.0,endpoint
48,566.0,539.0,endpoint
49,1416.0,593.0,endpoint
50,832.0,886.0,endpoint
51,422.0,695.0,endpoint
52,657.0,988.0,endpoint
53,807.0,1003.0,endpoint
54,1006.0,111.0,endpoint
55,824.0,1165.0,endpoint
56,1408.0,410.0,endpoint
57,282.0,174.0,endpoint
58,170.0,1208.0,endpoint
59,525.0,1454.0,endpoint
60,1038.0,1423.0,endpoint
61,1046.0,94.0,endpoint
62,13.0,644.0,endpoint
63,636.0,387.0,endpoint
64,480.0,604.0,endpoint
65,628.0,38.0,endpoint
66,1358.0,838.0,endpoint
67,255.0,595.0,endpoint
68,1304.0,965.0,endpoint
69,514.0,791.0,endpoint
70,77.0,429.0,endpoint
71,419.0,437.0,endpoint
72,692.0,141.0,endpoint
73,988.0,1442.0,endpoint
74,169.0,429.0,endpoint
75,909.0,294.0,endpoint
76,92.0,1094.0,endpoint
77,1488.0,699.0,endpoint
78,526.0,95.0,endpoint
