u,v,unweighted_hops,weighted_cost,path_length_sum,euclidean,tortuosity
0,1,inf,inf,inf,981.1060085434193,inf
0,2,inf,inf,inf,497.01609631882144,inf
0,3,inf,inf,inf,772.0939062057154,inf
0,4,inf,inf,inf,439.6055049700811,inf
0,5,inf,inf,inf,336.304921165302,inf
0,6,inf,inf,inf,852.0076290738247,inf
0,7,inf,inf,inf,312.07851576165893,inf
0,8,inf,inf,inf,737.9444423532167,inf
0,9,inf,inf,inf,545.475938974397,inf
0,10,inf,inf,inf,240.46829312822095,inf
0,11,inf,inf,inf,618.5474921135806,inf
0,12,inf,inf,inf,814.0024569987488,inf
0,13,inf,inf,inf,930.27307818726,inf
0,14,inf,inf,inf,505.38302306270634,inf
0,15,inf,inf,inf,940.3286659461148,inf
0,16,inf,inf,inf,628.6851358191952,inf
0,17,inf,inf,inf,629.2574989620704,inf
0,18,inf,inf,inf,403.3472449391467,inf
0,19,inf,inf,inf,678.0744796849384,inf
0,20,inf,inf,inf,403.510842481339,inf
0,21,inf,inf,inf,204.41379601191306,inf
0,22,inf,inf,inf,549.2585911936198,inf
0,23,inf,inf,inf,428.00233644222084,inf
0,24,inf,inf,inf,938.5973577631678,inf
0,25,inf,inf,inf,442.52570546805526,inf
0,26,inf,inf,inf,522.0124519587631,inf
0,27,inf,inf,inf,608.0402947173814,inf
0,28,inf,inf,inf,521.6598508606926,inf
0,29,inf,inf,inf,528.7967473424926,inf
0,30,inf,inf,inf,976.4061654864742,inf
0,31,inf,inf,inf,871.580174166439,inf
0,32,inf,inf,inf,652.4354374189066,inf
0,33,inf,inf,inf,372.54261501202785,inf
0,34,inf,inf,inf,562.555775012576,inf
0,35,inf,inf,inf,944.2478488193659,inf
0,36,inf,inf,inf,288.76461001999536,inf
0,37,inf,inf,inf,946.2943516686549,inf
0,38,inf,inf,inf,485.0618517261484,inf
0,39,inf,inf,inf,565.8595232034183,inf
0,40,inf,inf,inf,407.9460748677452,inf
0,41,inf,inf,inf,585.6697021359395,inf
0,42,inf,inf,inf,626.5221464561329,inf
0,43,inf,inf,inf,357.0658202628753,inf
0,44,inf,inf,inf,491.34611019117676,inf
0,45,inf,inf,inf,476.00105041900906,inf
0,46,inf,inf,inf,344.7622369111791,inf
0,47,inf,inf,inf,77.80102827083971,inf
0,48,inf,inf,inf,455.7027539965059,inf
0,49,inf,inf,inf,530.0037735714718,inf
0,50,inf,inf,inf,302.49132218957953,inf
0,51,inf,inf,inf,328.2499047981583,inf
0,52,inf,inf,inf,385.7473266271589,inf
0,53,inf,inf,inf,279.5514263959317,inf
0,54,inf,inf,inf,513.4014024133553,inf
0,55,inf,inf,inf,392.11860450634066,inf
0,56,inf,inf,inf,559.0169943749474,inf
0,57,inf,inf,inf,575.1956188984752,inf
0,58,inf,inf,inf,642.1347210671605,inf
0,59,inf,inf,inf,368.67600952597934,inf
0,60,inf,inf,inf,979.4166631214725,inf
0,61,inf,inf,inf,1000.344940508023,inf
0,62,inf,inf,inf,849.9935293871359,inf
0,63,inf,inf,inf,593.8627787629058,inf
0,64,inf,inf,inf,478.80267334257854,inf
0,65,inf,inf,inf,947.3542104197353,inf
0,66,inf,inf,inf,637.6401806661811,inf
0,67,inf,inf,inf,895.4914851633152,inf
0,68,inf,inf,inf,650.9416256470314,inf
0,69,inf,inf,inf,518.5990744303349,inf
0,70,inf,inf,inf,979.6984229853593,inf
0,71,inf,inf,inf,754.6893400598686,inf
0,72,inf,inf,inf,625.5637457525812,inf
0,73,inf,inf,inf,552.4961538327665,inf
0,74,inf,inf,inf,940.2127418834526,inf
0,75,inf,inf,inf,635.2322409953701,inf
0,76,inf,inf,inf,385.87562763149475,inf
0,77,inf,inf,inf,337.78395462188547,inf
0,78,inf,inf,inf,523.8110346298558,inf
0,79,inf,inf,inf,1003.0553324717436,inf
0,80,inf,inf,inf,373.84087523972016,inf
0,81,inf,inf,inf,654.5846011021035,inf
0,82,inf,inf,inf,380.0052631214468,inf
0,83,inf,inf,inf,940.2068921253449,inf
0,84,inf,inf,inf,653.9480101659458,inf
0,85,inf,inf,inf,467.58100902410484,inf
0,86,inf,inf,inf,325.55491088294156,inf
0,87,inf,inf,inf,272.9981684920249,inf
0,88,inf,inf,inf,437.47114190538326,inf
0,89,inf,inf,inf,789.6157293266136,inf
0,90,inf,inf,inf,200.14244927051334,inf
0,91,inf,inf,inf,96.40020746865642,inf
0,92,inf,inf,inf,530.329143080031,inf
0,93,inf,inf,inf,696.8299649125316,inf
0,94,inf,inf,inf,394.98101220185254,inf
0,95,inf,inf,inf,688.3037120341572,inf
0,96,inf,inf,inf,455.68519835518026,inf
0,97,inf,inf,inf,307.001628660175,inf
0,98,inf,inf,inf,263.50142314606194,inf
0,99,inf,inf,inf,431.05684079944723,inf
0,100,inf,inf,inf,609.5900261651268,inf
0,101,inf,inf,inf,249.07027120874943,inf
0,102,inf,inf,inf,713.0385683818232,inf
0,103,inf,inf,inf,1004.7472318946691,inf
0,104,inf,inf,inf,644.5851378987884,inf
0,105,inf,inf,inf,892.8118502797776,inf
0,106,inf,inf,inf,363.3249234500711,inf
0,107,inf,inf,inf,517.7257961508196,inf
0,108,inf,inf,inf,151.7926216915697,inf
0,109,inf,inf,inf,423.96815918179516,inf
0,110,inf,inf,inf,546.0485326415593,inf
0,111,inf,inf,inf,909.9857141735797,inf
1,2,inf,inf,inf,491.6746892000848,inf
1,3,inf,inf,inf,542.4923962600766,inf
1,4,inf,inf,inf,561.9288211152726,inf
1,5,inf,inf,inf,675.0703667026127,inf
1,6,inf,inf,inf,420.2023322162789,inf
1,7,inf,inf,inf,792.965320805393,inf
1,8,inf,inf,inf,387.40805360756247,inf
1,9,inf,inf,inf,636.9089416863293,inf
1,10,inf,inf,inf,955.1806111935061,inf
1,11,inf,inf,inf,374.2859869137502,inf
