u,v,path_length,euclidean,tortuosity,weight
121,127,71,75.5079,0.9403,0.9403
208,207,2,4.3843,0.4562,0.4562
1,275,50,59.8002,0.8361,0.8361
2,196,20,22.1033,0.9048,0.9048
236,237,14,16.5817,0.8443,0.8443
236,233,1,9.0250,0.1108,0.1108
236,233,1,9.0250,0.1108,0.1108
236,249,45,462.7067,0.0973,0.0973
236,265,1,450.9883,0.0022,0.0022
236,265,1,450.9883,0.0022,0.0022
178,265,1,504.3226,0.0020,0.0020
138,178,1,184.8351,0.0054,0.0054
138,159,1,179.9309,0.0056,0.0056
138,160,59,235.9058,0.2501,0.2501
138,159,1,179.9309,0.0056,0.0056
226,216,46,49.8977,0.9219,0.9219
227,232,36,40.3829,0.8915,0.8915
229,19,35,43.1342,0.8114,0.8114
10,229,27,697.9985,0.0387,0.0387
265,100,54,57.8279,0.9338,0.9338
265,100,1,57.8279,0.0173,0.0173
232,129,1,699.9928,0.0014,0.0014
232,129,1,699.9928,0.0014,0.0014
232,34,20,677.0762,0.0295,0.0295
201,176,121,120.8714,1.0011,1.0011
201,195,114,113.8737,1.0011,1.0011
201,207,57,48.0197,1.1870,1.1870
279,281,24,26.9497,0.8905,0.8905
279,120,1,776.1480,0.0013,0.0013
279,123,13,763.2621,0.0170,0.0170
232,234,7,9.7068,0.7211,0.7211
16,234,160,741.1717,0.2159,0.2159
16,126,60,395.5295,0.1517,0.1517
16,130,1,364.8261,0.0027,0.0027
16,130,1,364.8261,0.0027,0.0027
223,15,73,74.5356,0.9794,0.9794
117,223,1,817.6105,0.0012,0.0012
117,116,63,65.1379,0.9672,0.9672
243,29,11,13.0979,0.8398,0.8398
255,243,1,58.4632,0.0171,0.0171
255,243,29,58.4632,0.4960,0.4960
255,91,47,482.1987,0.0975,0.0975
255,143,1,471.4187,0.0021,0.0021
255,143,1,471.4187,0.0021,0.0021
189,143,1,934.8049,0.0011,0.0011
144,189,1,377.9219,0.0026,0.0026
144,189,61,377.9219,0.1614,0.1614
144,48,28,436.2689,0.0642,0.0642
144,215,1,459.6738,0.0022,0.0022
144,215,1,459.6738,0.0022,0.0022
220,25,39,40.3388,0.9668,0.9668
147,149,31,36.6621,0.8456,0.8456
147,57,15,484.5251,0.0310,0.0310
147,252,1,499.5094,0.0020,0.0020
147,252,1,499.5094,0.0020,0.0020
184,162,91,89.8885,1.0124,1.0124
184,144,1,336.3073,0.0030,0.0030
184,150,49,361.7565,0.1355,0.1355
261,9,1,2.2361,0.4472,0.4472
261,257,22,24.2602,0.9068,0.9068
261,22,1,2.8284,0.3536,0.3536
261,154,1,512.8358,0.0019,0.0019
261,152,40,549.1930,0.0728,0.0728
261,154,1,512.8358,0.0019,0.0019
261,186,25,302.8182,0.0826,0.0826
261,193,1,281.9310,0.0035,0.0035
