id,y,x,type
0,214.0,111.0,endpoint
1,889.0,823.0,endpoint
2,509.0,511.0,endpoint
3,966.0,286.0,endpoint
4,581.0,353.0,endpoint
5,515.0,261.0,endpoint
6,1008.0,420.0,endpoint
7,526.0,118.0,endpoint
8,503.0,790.0,endpoint
9,752.0,201.0,endpoint
10,82.0,312.0,endpoint
11,690.0,506.0,endpoint
12,216.0,925.0,endpoint
13,1006.0,599.0,endpoint
14,610.0,425.0,endpoint
15,601.0,968.0,endpoint
16,168.0,738.0,endpoint
17,843.0,129.0,endpoint
18,554.0,328.0,endpoint
19,662.0,620.0,endpoint
20,375.0,481.0,endpoint
21,73.0,259.0,endpoint
22,756.0,200.0,endpoint
23,409.0,492.0,endpoint
24,1000.0,624.0,endpoint
25,616.0,296.0,endpoint
26,135.0,627.0,endpoint
27,782.0,328.0,endpoint
28,566.0,496.0,endpoint
29,713.0,286.0,endpoint
30,954.0,748.0,endpoint
31,958.0,565.0,endpoint
32,60.0,745.0,endpoint
33,566.0,233.0,endpoint
34,189.0,673.0,endpoint
35,466.0,1021.0,endpoint
36,502.0,132.0,endpoint
37,541.0,999.0,endpoint
38,655.0,313.0,endpoint
39,535.0,577.0,endpoint
40,346.0,497.0,endpoint
41,242.0,696.0,endpoint
42,801.0,330.0,endpoint
43,528.0,281.0,endpoint
44,384.0,572.0,endpoint
45,30.0,550.0,endpoint
46,20.0,396.0,endpoint
47,152.0,158.0,endpoint
48,591.0,367.0,endpoint
49,44.0,613.0,endpoint
50,489.0,237.0,endpoint
51,496.0,279.0,endpoint
52,599.0,87.0,endpoint
53,39.0,329.0,endpoint
54,444.0,570.0,endpoint
55,600.0,180.0,endpoint
56,624.0,491.0,endpoint
57,717.0,390.0,endpoint
58,645.0,587.0,endpoint
59,455.0,390.0,endpoint
60,598.0,1012.0,endpoint
61,713.0,978.0,endpoint
62,306.0,956.0,endpoint
63,182.0,704.0,endpoint
64,500.0,495.0,endpoint
65,808.0,849.0,endpoint
66,683.0,543.0,endpoint
67,786.0,800.0,endpoint
68,864.0,146.0,endpoint
69,461.0,567.0,endpoint
70,594.0,1014.0,endpoint
71,130.0,861.0,endpoint
72,71.0,720.0,endpoint
73,348.0,647.0,endpoint
74,458.0,1019.0,endpoint
75,822.0,295.0,endpoint
76,544.0,311.0,endpoint
77,551.0,88.0,endpoint
78,601.0,464.0,endpoint
79,852.0,885.0,endpoint
80,563.0,245.0,endpoint
81,823.0,351.0,endpoint
82,594.0,113.0,endpoint
83,781.0,861.0,endpoint
84,846.0,279.0,endpoint
85,648.0,285.0,endpoint
86,533.0,176.0,endpoint
87,42.0,323.0,endpoint
88,464.0,470.0,endpoint
89,976.0,318.0,endpoint
90,75.0,255.0,endpoint
91,291.0,53.0,endpoint
92,554.0,518.0,endpoint
93,558.0,717.0,endpoint
94,293.0,498.0,endpoint
95,515.0,730.0,endpoint
96,646.0,256.0,endpoint
97,501.0,2.0,endpoint
98,466.0,188.0,endpoint
99,5.0,488.0,endpoint
100,822.0,155.0,endpoint
101,420.0,251.0,endpoint
102,704.0,629.0,endpoint
103,803.0,925.0,endpoint
104,761.0,452.0,endpoint
105,346.0,994.0,endpoint
106,485.0,353.0,endpoint
107,728.0,49.0,endpoint
108,343.0,31.0,endpoint
109,7.0,481.0,endpoint
110,459.0,599.0,endpoint
111,389.0,1004.0,endpoint
112,8.0,484.0,junction
113,43.0,327.0,junction
114,54.0,567.0,junction
115,58.0,338.0,junction
116,60.0,347.0,junction
117,63.0,412.0,junction
118,71.0,563.0,junction
119,75.0,258.0,junction
120,98.0,415.0,junction
121,107.0,761.0,junction
122,112.0,436.0,junction
123,113.0,408.0,junction
124,112.0,583.0,junction
125,133.0,323.0,junction
126,133.0,344.0,junction
127,137.0,692.0,junction
128,158.0,446.0,junction
129,178.0,695.0,junction
130,196.0,374.0,junction
131,212.0,491.0,junction
132,241.0,574.0,junction
133,244.0,555.0,junction
134,251.0,150.0,junction
135,253.0,621.0,junction
136,254.0,614.0,junction
137,256.0,369.0,junction
138,269.0,538.0,junction
139,269.0,522.0,junction
140,279.0,495.0,junction
141,282.0,128.0,junction
142,283.0,885.0,junction
143,286.0,102.0,junction
144,291.0,684.0,junction
145,292.0,274.0,junction
146,295.0,625.0,junction
147,295.0,151.0,junction
148,304.0,632.0,junction
149,323.0,128.0,junction
150,329.0,729.0,junction
151,340.0,838.0,junction
152,341.0,564.0,junction
153,352.0,991.0,junction
154,353.0,522.0,junction
155,358.0,835.0,junction
156,366.0,307.0,junction
157,367.0,429.0,junction
158,369.0,308.0,junction
159,369.0,388.0,junction
160,375.0,327.0,junction
161,376.0,393.0,junction
162,379.0,441.0,junction
163,379.0,802.0,junction
164,382.0,757.0,junction
165,392.0,660.0,junction
166,400.0,297.0,junction
167,403.0,298.0,junction
168,409.0,913.0,junction
169,416.0,511.0,junction
170,416.0,505.0,junction
171,420.0,785.0,junction
172,420.0,134.0,junction
173,427.0,379.0,junction
174,430.0,118.0,junction
175,430.0,694.0,junction
176,435.0,710.0,junction
177,440.0,288.0,junction
178,449.0,496.0,junction
179,449.0,868.0,junction
180,450.0,789.0,junction
181,451.0,384.0,junction
182,452.0,827.0,junction
183,453.0,359.0,junction
184,452.0,389.0,junction
185,455.0,846.0,junction
186,458.0,140.0,junction
187,458.0,134.0,junction
188,464.0,352.0,junction
189,464.0,1020.0,junction
190,466.0,267.0,junction
191,471.0,819.0,junction
192,472.0,803.0,junction
193,474.0,167.0,junction
194,475.0,829.0,junction
195,476.0,503.0,junction
196,489.0,502.0,junction
197,490.0,37.0,junction
198,494.0,124.0,junction
199,494.0,277.0,junction
200,495.0,800.0,junction
201,507.0,613.0,junction
202,508.0,807.0,junction
203,519.0,120.0,junction
204,525.0,180.0,junction
205,537.0,805.0,junction
206,538.0,798.0,junction
207,549.0,590.0,junction
208,554.0,590.0,junction
209,559.0,136.0,junction
210,583.0,822.0,junction
211,583.0,760.0,junction
212,595.0,1012.0,junction
213,599.0,750.0,junction
214,614.0,224.0,junction
215,621.0,364.0,junction
216,630.0,481.0,junction
217,637.0,367.0,junction
218,646.0,672.0,junction
219,651.0,355.0,junction
220,656.0,295.0,junction
