u,v,unweighted_hops,weighted_cost,path_length_sum,euclidean,tortuosity
0,1,6.0,2.3713,366.0,981.1060085434193,0.3730483727679693
0,2,7.0,2.4531,342.0,497.01609631882144,0.6881064869589594
0,3,7.0,2.4855000000000005,385.0,772.0939062057154,0.49864400807409204
0,4,8.0,2.5799000000000003,362.0,439.6055049700811,0.8234655751743536
0,5,8.0,2.3238999999999996,350.0,336.304921165302,1.040722207653829
0,6,6.0,2.4867,447.0,852.0076290738247,0.5246431895051358
0,7,7.0,1.5537000000000003,324.0,312.07851576165893,1.038200272163066
0,8,8.0,2.2399,326.0,737.9444423532167,0.4417676742173502
0,9,5.0,1.9759000000000002,315.0,545.475938974397,0.5774773504992036
0,10,7.0,1.5748000000000002,343.0,240.46829312822095,1.4263834767484616
0,11,6.0,1.6783000000000001,426.0,618.5474921135806,0.6887102533458755
0,12,6.0,2.5276000000000005,396.0,814.0024569987488,0.4864850180674684
0,13,6.0,2.5203,465.0,930.27307818726,0.49985322686764616
0,14,6.0,1.5493000000000003,318.0,505.38302306270634,0.6292257268019539
0,15,7.0,2.5140000000000002,390.0,940.3286659461148,0.4147486024023315
0,16,6.0,1.5435,319.0,628.6851358191952,0.5074082109231572
0,17,6.0,1.6954,374.0,629.2574989620704,0.5943512800672138
0,18,4.0,1.8836,424.0,403.3472449391467,1.051203411750015
0,19,7.0,2.3475,351.0,678.0744796849384,0.5176422509855985
0,20,7.0,1.7127000000000001,356.0,403.510842481339,0.8822563423843159
0,21,5.0,1.5291000000000001,314.0,204.41379601191306,1.536099843191114
0,22,5.0,1.8823000000000003,315.0,549.2585911936198,0.5735003603957447
0,23,8.0,2.3553,329.0,428.00233644222084,0.7686873925381342
0,24,6.0,1.8408000000000002,437.0,938.5973577631678,0.4655883552042412
0,25,7.0,2.5080000000000005,357.0,442.52570546805526,0.8067327967364166
0,26,8.0,1.5435,320.0,522.0124519587631,0.61301219692989
0,27,8.0,3.3697000000000004,360.0,608.0402947173814,0.5920660244520948
0,28,6.0,2.0589,480.0,521.6598508606926,0.9201398175612757
0,29,6.0,2.3815,324.0,528.7967473424926,0.6127117869546023
0,30,7.0,2.5541,393.0,976.4061654864742,0.40249643426226817
0,31,7.0,2.0031,504.0,871.580174166439,0.578260055630585
0,32,8.0,3.394,434.0,652.4354374189066,0.6651999188102705
0,33,6.0,1.6713,382.0,372.54261501202785,1.025386048754897
0,34,8.0,1.5656000000000003,337.0,562.555775012576,0.5990517117924287
0,35,3.0,1.5218,310.0,944.2478488193659,0.3283036338262316
0,36,5.0,1.5540000000000005,321.0,288.76461001999536,1.111632065916154
0,37,6.0,2.4871000000000003,489.0,946.2943516686549,0.5167525296306782
0,38,6.0,2.5303000000000004,389.0,485.0618517261484,0.801959582300069
0,39,7.0,2.3474,330.0,565.8595232034183,0.5831836108930692
0,40,6.0,1.5928000000000002,342.0,407.9460748677452,0.8383460978534364
0,41,6.0,1.6138000000000001,366.0,585.6697021359395,0.6249256170588929
0,42,8.0,3.3075,356.0,626.5221464561329,0.5682161468891124
